From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
P68104	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	cellular response to epidermal growth factor stimulus [GO:0071364]; positive regulation by host of viral genome replication [GO:0044829]; regulation of chaperone-mediated autophagy [GO:1904714]; regulation of D-erythro-sphingosine kinase activity [GO:1900022]; translation [GO:0006412]; translational elongation [GO:0006414]
P07737	P07737	PROF1_HUMAN	Profilin-1 (Epididymis tissue protein Li 184a) (Profilin I)	PFN1	actin cytoskeleton organization [GO:0030036]; modification of postsynaptic actin cytoskeleton [GO:0098885]; negative regulation of actin filament bundle assembly [GO:0032232]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of stress fiber assembly [GO:0051497]; neural tube closure [GO:0001843]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of ATP-dependent activity [GO:0032781]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of ruffle assembly [GO:1900029]; protein stabilization [GO:0050821]; regulation of actin filament polymerization [GO:0030833]; regulation of transcription by RNA polymerase II [GO:0006357]; synapse maturation [GO:0060074]
P02765	P02765	FETUA_HUMAN	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	AHSG FETUA PRO2743	acute-phase response [GO:0006953]; negative regulation of bone mineralization [GO:0030502]; negative regulation of endopeptidase activity [GO:0010951]; negative regulation of insulin receptor signaling pathway [GO:0046627]; ossification [GO:0001503]; pinocytosis [GO:0006907]; positive regulation of phagocytosis [GO:0050766]; regulation of bone mineralization [GO:0030500]; regulation of inflammatory response [GO:0050727]; skeletal system development [GO:0001501]
P14618	P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (EC 2.7.11.1) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (Tyrosine-protein kinase PKM2) (EC 2.7.10.2) (p58)	PKM OIP3 PK2 PK3 PKM2	canonical glycolysis [GO:0061621]; cellular response to insulin stimulus [GO:0032869]; glycolytic process [GO:0006096]; positive regulation of cytoplasmic translation [GO:2000767]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; programmed cell death [GO:0012501]
P06733	P06733	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	canonical glycolysis [GO:0061621]; glycolytic process [GO:0006096]; negative regulation of cell growth [GO:0030308]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of muscle contraction [GO:0045933]; positive regulation of plasminogen activation [GO:0010756]; response to virus [GO:0009615]
P08670	P08670	VIME_HUMAN	Vimentin	VIM	astrocyte development [GO:0014002]; Bergmann glial cell differentiation [GO:0060020]; cellular response to interferon-gamma [GO:0071346]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; intermediate filament organization [GO:0045109]; lens fiber cell development [GO:0070307]; negative regulation of neuron projection development [GO:0010977]; neuron projection development [GO:0031175]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of translation [GO:0045727]; regulation of mRNA stability [GO:0043488]; SMAD protein signal transduction [GO:0060395]
P11142	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	ATP metabolic process [GO:0046034]; cellular response to starvation [GO:0009267]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; late endosomal microautophagy [GO:0061738]; membrane organization [GO:0061024]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of supramolecular fiber organization [GO:1902904]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of cell cycle [GO:0051726]; regulation of postsynapse organization [GO:0099175]; regulation of protein complex stability [GO:0061635]; regulation of protein import [GO:1904589]; regulation of protein stability [GO:0031647]; regulation of protein-containing complex assembly [GO:0043254]; response to unfolded protein [GO:0006986]; slow axonal transport [GO:1990832]; vesicle-mediated transport [GO:0016192]
P10809	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	'de novo' protein folding [GO:0006458]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; apoptotic mitochondrial changes [GO:0008637]; B cell activation [GO:0042113]; B cell proliferation [GO:0042100]; biological process involved in interaction with symbiont [GO:0051702]; chaperone-mediated protein complex assembly [GO:0051131]; isotype switching to IgG isotypes [GO:0048291]; mitochondrial unfolded protein response [GO:0034514]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of apoptotic process [GO:0043066]; positive regulation of apoptotic process [GO:0043065]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage activation [GO:0043032]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; response to cold [GO:0009409]; response to unfolded protein [GO:0006986]; T cell activation [GO:0042110]
P23528	P23528	COF1_HUMAN	Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)	CFL1 CFL	actin cytoskeleton organization [GO:0030036]; actin filament depolymerization [GO:0030042]; actin filament fragmentation [GO:0030043]; actin filament severing [GO:0051014]; cytoskeleton organization [GO:0007010]; establishment of spindle localization [GO:0051293]; mitotic cytokinesis [GO:0000281]; negative regulation of apoptotic process [GO:0043066]; positive regulation by host of viral process [GO:0044794]; positive regulation of embryonic development [GO:0040019]; regulation of cell morphogenesis [GO:0022604]; regulation of dendritic spine morphogenesis [GO:0061001]; response to virus [GO:0009615]; Rho protein signal transduction [GO:0007266]
P04075	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	actin filament organization [GO:0007015]; ATP biosynthetic process [GO:0006754]; binding of sperm to zona pellucida [GO:0007339]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose metabolic process [GO:0006000]; glycolytic process [GO:0006096]; muscle cell cellular homeostasis [GO:0046716]; protein homotetramerization [GO:0051289]; regulation of cell shape [GO:0008360]; striated muscle contraction [GO:0006941]
P06748	P06748	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	cell volume homeostasis [GO:0006884]; cellular response to UV [GO:0034644]; cellular senescence [GO:0090398]; centrosome cycle [GO:0007098]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; intracellular protein transport [GO:0006886]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; nucleocytoplasmic transport [GO:0006913]; nucleosome assembly [GO:0006334]; positive regulation of cell cycle G2/M phase transition [GO:1902751]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of centrosome duplication [GO:0010825]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein localization to nucleolus [GO:1904751]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; protein localization [GO:0008104]; protein stabilization [GO:0050821]; regulation of cell growth [GO:0001558]; regulation of centriole replication [GO:0046599]; regulation of centrosome duplication [GO:0010824]; regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043516]; regulation of eIF2 alpha phosphorylation by dsRNA [GO:0060735]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of endoribonuclease activity [GO:0060699]; regulation of mRNA stability involved in cellular response to UV [GO:1902629]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit biogenesis [GO:0042274]; ribosomal small subunit export from nucleus [GO:0000056]; ribosome assembly [GO:0042255]; rRNA export from nucleus [GO:0006407]; signal transduction [GO:0007165]
P68371	P68371	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; natural killer cell mediated cytotoxicity [GO:0042267]
P63104	P63104	1433Z_HUMAN	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	angiogenesis [GO:0001525]; ERK1 and ERK2 cascade [GO:0070371]; establishment of Golgi localization [GO:0051683]; Golgi reassembly [GO:0090168]; lung development [GO:0030324]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein localization [GO:0008104]; protein phosphorylation [GO:0006468]; protein targeting [GO:0006605]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of synapse maturation [GO:0090128]; respiratory system process [GO:0003016]; signal transduction [GO:0007165]; synaptic target recognition [GO:0008039]; tube formation [GO:0035148]
P07355	P07355	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	angiogenesis [GO:0001525]; collagen fibril organization [GO:0030199]; fibrinolysis [GO:0042730]; membrane raft assembly [GO:0001765]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of low-density lipoprotein particle receptor catabolic process [GO:0032804]; negative regulation of receptor internalization [GO:0002091]; osteoclast development [GO:0036035]; positive regulation of exocytosis [GO:0045921]; positive regulation of low-density lipoprotein particle clearance [GO:1905581]; positive regulation of low-density lipoprotein particle receptor binding [GO:1905597]; positive regulation of low-density lipoprotein receptor activity [GO:1905599]; positive regulation of plasma membrane repair [GO:1905686]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of receptor recycling [GO:0001921]; positive regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905602]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of vacuole organization [GO:0044090]; positive regulation of vesicle fusion [GO:0031340]; regulation of neurogenesis [GO:0050767]; vesicle budding from membrane [GO:0006900]
P06396	P06396	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	actin filament capping [GO:0051693]; actin filament depolymerization [GO:0030042]; actin filament polymerization [GO:0030041]; actin filament reorganization [GO:0090527]; actin filament severing [GO:0051014]; actin nucleation [GO:0045010]; actin polymerization or depolymerization [GO:0008154]; amyloid fibril formation [GO:1990000]; barbed-end actin filament capping [GO:0051016]; cardiac muscle cell contraction [GO:0086003]; cell projection assembly [GO:0030031]; cellular response to interferon-gamma [GO:0071346]; central nervous system development [GO:0007417]; cilium assembly [GO:0060271]; hepatocyte apoptotic process [GO:0097284]; negative regulation of viral entry into host cell [GO:0046597]; phagocytosis, engulfment [GO:0006911]; positive regulation of actin nucleation [GO:0051127]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte apoptotic process [GO:1902174]; positive regulation of protein processing in phagocytic vesicle [GO:1903923]; protein destabilization [GO:0031648]; regulation of establishment of T cell polarity [GO:1903903]; regulation of plasma membrane raft polarization [GO:1903906]; regulation of podosome assembly [GO:0071801]; regulation of receptor clustering [GO:1903909]; relaxation of cardiac muscle [GO:0055119]; renal protein absorption [GO:0097017]; response to muscle stretch [GO:0035994]; sequestering of actin monomers [GO:0042989]; striated muscle atrophy [GO:0014891]
Q9BVA1	Q9BVA1	TBB2B_HUMAN	Tubulin beta-2B chain	TUBB2B	embryonic brain development [GO:1990403]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; modulation of chemical synaptic transmission [GO:0050804]; neuron migration [GO:0001764]; positive regulation of axon guidance [GO:1902669]
Q13885	Q13885	TBB2A_HUMAN	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A TUBB2	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]; neuron migration [GO:0001764]
P13645	P13645	K1C10_HUMAN	Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)	KRT10 KPP	epidermis development [GO:0008544]; epithelial cell differentiation [GO:0030855]; keratinocyte differentiation [GO:0030216]; morphogenesis of an epithelium [GO:0002009]; peptide cross-linking [GO:0018149]; positive regulation of epidermis development [GO:0045684]; protein heterotetramerization [GO:0051290]
P02042	P02042	HBD_HUMAN	Hemoglobin subunit delta (Delta-globin) (Hemoglobin delta chain)	HBD	carbon dioxide transport [GO:0015670]; cellular oxidant detoxification [GO:0098869]; hydrogen peroxide catabolic process [GO:0042744]; oxygen transport [GO:0015671]; positive regulation of cell death [GO:0010942]
P62258	P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	cellular response to heat [GO:0034605]; cerebral cortex development [GO:0021987]; hippocampus development [GO:0021766]; intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; negative regulation of calcium ion export across plasma membrane [GO:1905913]; negative regulation of calcium ion transmembrane transporter activity [GO:1901020]; negative regulation of peptidyl-serine dephosphorylation [GO:1902309]; neuron migration [GO:0001764]; positive regulation of protein export from nucleus [GO:0046827]; protein localization [GO:0008104]; protein localization to nucleus [GO:0034504]; protein targeting [GO:0006605]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of heart rate by hormone [GO:0003064]; regulation of membrane repolarization [GO:0060306]; regulation of mitotic cell cycle [GO:0007346]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; signal transduction [GO:0007165]; substantia nigra development [GO:0021762]
P00338	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]; substantia nigra development [GO:0021762]
P04264	P04264	K2C1_HUMAN	Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)	KRT1 KRTA	complement activation, lectin pathway [GO:0001867]; establishment of skin barrier [GO:0061436]; fibrinolysis [GO:0042730]; intermediate filament organization [GO:0045109]; keratinization [GO:0031424]; negative regulation of inflammatory response [GO:0050728]; peptide cross-linking [GO:0018149]; protein heterotetramerization [GO:0051290]; regulation of angiogenesis [GO:0045765]; response to oxidative stress [GO:0006979]; retina homeostasis [GO:0001895]
P08238	P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	axon extension [GO:0048675]; cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; cellular response to organic cyclic compound [GO:0071407]; central nervous system neuron axonogenesis [GO:0021955]; chaperone-mediated protein complex assembly [GO:0051131]; establishment of cell polarity [GO:0030010]; negative regulation of complement-dependent cytotoxicity [GO:1903660]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of transforming growth factor beta activation [GO:1901389]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell size [GO:0045793]; positive regulation of cyclin-dependent protein kinase activity [GO:1904031]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein binding [GO:0032092]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of tau-protein kinase activity [GO:1902949]; positive regulation of telomerase activity [GO:0051973]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of protein localization [GO:0032880]; regulation of protein ubiquitination [GO:0031396]; response to cocaine [GO:0042220]; response to salt stress [GO:0009651]; response to unfolded protein [GO:0006986]; response to xenobiotic stimulus [GO:0009410]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062]
P37802	P37802	TAGL2_HUMAN	Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog)	TAGLN2 KIAA0120 CDABP0035	epithelial cell differentiation [GO:0030855]
